anchor,positive
I'm interested in learning about the safety of rice consumption in Ghana. Can you tell me about the levels of heavy metals found in rice samples in a recent study?,Miyɛ bɔ ni ŋmãa ni ayeɔ yɛ Ghana lɛ yɔɔ shweshweeshwe lɛ he miishɛɛ. Ani obaanyɛ okɛɛ mi dade ni tsii ni ana yɛ ŋmãa nɔkwɛmɔnii amli yɛ nikasemɔ ko ni afee nyɛsɛɛ nɛɛ mli lɛ falɛ he sane?
What is causing the surge in fuel prices in Ghana?,Mɛni ji nɔ ni ha fuɛl jara etee ŋwɛi yɛ Ghana lɛ?
Can you tell me the price?,Pouvez-vous me dire le prix ?
What was the best-selling album of two thousand and twenty-one inches the UK?,Mɛni ji lala wolo ni dalɛ ji 221 inch ni ahɔ̃ɔ fe fɛɛ yɛ UK?
People did not receive the cattle provided by the government because leaders slaughtered the cattle for meat.,Nkorɔfoɔ annye anantwie a aban no de maeɛ no ɛfiri sɛ na akannifoɔ no kunkum anantwie no de yɛ nam.
People are paying a lot of tax to the government.,Nkorɔfoɔ retua ɛtoɔ beberee ama aban no.
What are you looking for?,What can I get for you?
I'm interested in learning more about the Ghanaian cocoa market. Can you tell me about the key players in the marketing of cocoa?,Miyɛ he miishɛɛ akɛ makase kookoo jarayeli ni yɔɔ Ghana lɛ he nii babaoo. Ani obaanyɛ okɛɛ mi mɛi titri ni tsuɔ nii yɛ kookoo jarayeli mli lɛ ahe sane?
"I've been reading about a new trend in plastic surgery. Apparently, some people are paying seventy-six thousand  US dollarsto have their legs lengthened. Can you tell me more about this procedure?",Mikaneɔ nibii heei ni yaa nɔ yɛ plastic opireshɛn mli lɛ he sane. Mɛi komɛi miiwo dɔlai akpei nyɔŋmai kpawo kɛ enumɔ koni amɛha amɛnaji lɛ alɛɛ. Ani obaanyɛ okɛɛ mi gbɛjianɔtoo nɛɛ he saji babaoo?
"Can you speak slowly, please?",Please speak more slowly.
Can I help you find something?,So metumi aboa wo ma woanya biribi?
Thanks for your help.,Yɛda mo ase wɔ mo mmoa no ho.
Good evening,Mema wo adwo
I've heard about the potential of organic fruits and vegetables in Ghana. Can you tell me more about the current state of research in this area?,Minu bɔ ni aduawai kɛ aduawai ni akɛ tsofai tsuuu nii yɛ mli lɛ baanyɛ atsu nii aha yɛ Ghana lɛ he. Ani obaanyɛ okɛɛ mi bɔ ni niiamlitaomɔ ni yɔɔ nɛkɛ he nɛɛ yɔɔ ha lɛ he saji babaoo?
How much per kilogram?,How much is one kilogram?
Is this the final price?,Ani enɛ ji naagbee jara lɛ?
Nice to meet you.,Pleased to meet you.
I've been reading about the challenges rice farmers face in Ghana due to climate change. Can you tell me more about the impact of off-farm jobs on their ability to adapt to these changes?,Mikane naagbai ni ŋmãa okwaafoi ni yɔɔ Ghana lɛ kɛkpeɔ yɛ kɔɔyɔŋ tsakemɔ hewɔ lɛ he sane. Ani obaanyɛ okɛɛ mi bɔ ni nitsumɔ ni afeɔ yɛ ŋmɔ mli lɛ saa amɛnyɛmɔ ni amɛkɛtsakeɔ amɛhe amɛwoɔ tsakemɔi nɛɛ amli lɛ he babaoo?
What is the effect of mechanical fruit thinning on pecan yield and quality?,Mɛni ji hewalɛ ni tsɔne ni akɛwoɔ yibii amli lɛ tsuɔ yɛ pecan yibiiwoo kɛ ekpakpafeemɔ nɔ?
The school committee will find a solution for the running water.,Sukuu boayikuw no benya ano aduru ama nsu a ɛreworo so no.
I'm interested in learning more about how people consume fruits and vegetables in Ghana. What are some common challenges people face when it comes to consuming these food groups?,Miyɛ he miishɛɛ akɛ makase babaoo yɛ bɔ ni gbɔmɛi yeɔ aduawai kɛ aduawai yɛ Ghana. Mɛni ji naagbai komɛi ni gbɔmɛi kɛkpeɔ kɛ́ amɛmiiye niyenii kui nɛɛ?
I heard that Joy FM is hosting a family pop quiz show. Can you tell me more about it?,Mi nu akɛ Joy FM feɔ weku pop sanebimɔ nifeemɔ ko. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
Nice to meet you.,Ɛyɛ sɛ mahyia wo.
The number of previous water connections request will determine your waiting time for water.,Nsuo nkitahodi dodow a woabisa dedaw no na ɛbɛkyerɛ bere a wode bɛtwɛn nsu.
"What is the Rotary Family Health Day, and what was its aim in two thousand and twenty-four?","Mɛni ji Rotary Weku Hewalɛ Gbi lɛ, ni mɛni ji yiŋtoo ni yɔɔ sɛɛ yɛ afi 2024 mli?"
What is ground penetrating radar and how is it used in soil water content determination?,"Mɛni ji radar ni boteɔ shikpɔŋ mli, ni te akɛtsuɔ nii ahaa tɛŋŋ koni akɛna nu ni yɔɔ shikpɔŋ mli lɛ?"
A little bottle of candy to motivate the unbearable geek won't be able to ruin him,aha vivi ɖeka mana maɖu; agba o
I'm trying to understand how to measure the risk of a mutual fund investment. Can you explain the concept of beta and how it relates to systematic risk?,Miibɔ mɔdɛŋ ni manu bɔ ni asusuɔ oshara ni yɔɔ shika ni akɛwoɔ shikatoohe lɛ mli lɛ shishi. Ani obaanyɛ otsɔɔ shishinumɔ ni ji beta lɛ mli kɛ bɔ ni ekɛ oshara ni yɔɔ gbɛjianɔtoo mli lɛ yɔɔ tsakpaa ha lɛ mli?
"If the private sector is not well monitored, then they may just do work as they please.","Sɛ wɔanhwɛ ankorankoro adwumayɛkuw no so yiye a, ɛnde ebia wɔbɛyɛ adwuma sɛnea wɔpɛ ara."
He was very disappointed by the little pay.,Akatua kakraa bi a onyae no maa n’abam bui kɛse.
What would you like to buy?,What would you like today?
Landlords in Akatsi are to start paying taxes for their houses.,Ɛsɛ sɛ afiewuranom a wɔwɔ Akatsi firi aseɛ tua toɔ wɔ wɔn afie ho.
"What is the main reason for the delay in payment of National Service allowances, according to the Executive Director of the National Service Authority?","Taakɛ maŋ nitsumɔ he nitsumɔhe lɛ nɔkwɛlɔ nukpa lɛ tsɔɔ lɛ, mɛni ji yiŋtoo titri ni ha maŋ nitsumɔ he nyɔmɔwoo lɛ sɛɛ tsɛɔ?"
My father didn't understand either when I told him that I was going to leave IBSA to devote myself to the Eulis Center and my blog.,tɔnye hã mese eme esi mebe madzo le IBSA ahe wɔ yaʋaladɔ kple eulisdɔ o
"As for drawing water from it, you shouldn't think about it either!","Ne tsi kuku tɔ ya la, mega susui gɔ hã o."
Stagnant water around homes can lead to an increased number of mosquitos.,Nsu a egyinagyina wɔ afie ho no betumi ama nwansena adɔɔso.
"What are some key factors that influence farmers' willingness to pay for biofertilizers in Ghana, according to a recent study?","Taakɛ nikasemɔ ko ni afee nyɛsɛɛ nɛɛ tsɔɔ lɛ, mɛni ji nibii titrii komɛi ni náa okwaafoi ni sumɔɔ ni amɛwo tsofai ni akɛwoɔ ŋmɔ mli nibii amli lɛ ahe nyɔmɔ yɛ Ghana lɛ nɔ hewalɛ?"
Nice to meet you.,Happy to meet you.
"What is the significance of water in human life, and how does it relate to economic development?","Mɛni nu he hiaa yɛ adesai ashihilɛ mli, ni mɛɛ gbɛ nɔ ekɔɔ shika helɛtemɔ mli hiɛyaa he?"
The bar business is one of the profitable ventures in Ghana though the challenges of the business should be understood,Bar adwuma no yɛ nnwuma a mfaso wɔ so wɔ Ghana no mu biako ɛwom sɛ ɛsɛ sɛ wɔte adwuma no mu nsɛnnennen ase
I'm interested in learning about the use of indigenous Ghanaian vegetable tanned leather in fashion. Can you tell me more about it?,Miyɛ he miishɛɛ akɛ makase bɔ ni akɛ Ghanabii akutsoŋbii ahewolo tsuɔ nii yɛ atadewoo mli lɛ he nii. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
I bought the pain killers from the pharmacy outside the hospital.,Metɔɔ nnuru a wɔde kum ɛyaw no fii nnurutɔnbea a ɛwɔ ayaresabea no akyi no.
He urged people to take care of their properties.,Ɔhyɛɛ nkurɔfo nkuran sɛ wɔnhwɛ wɔn agyapade so.
Thank you very much.,Akpe na wò kakaaka.
The company couldn't afford to pay the salary arrears.,Adwumakuw no antumi antua akatua a aka no.
Hello,Hi there.
I do not accept that the people of Marseille are victims of political decisions that no one can understand,nyemalɔ̃ be Marseilletɔwo nanye gbɔ ayi asi na politikiɖoɖo aɖeke i gɔme ame aɖeke mese o
Please.,Taflatsɛ.
Can I know the price first?,I'd like to know the price first.
I'm curious about the factors that influence consumer buying behavior of local cuisine in Ghana. Can you tell me more about it?,Miitao male nibii ni náa maŋbii ni yeɔ niyenii yɛ Ghana lɛ ahemɔ su nɔ hewalɛ. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
Can I know the price first?,How much is it before I choose?
I've been reading about dividend policies and their effects on share prices. What's the main goal of financial management in modern times?,Mikaneɔ shika ni ajaa lɛ he mlai kɛ bɔ ni amɛtsuɔ nii amɛhaa yɛ shika ni akɛwoɔ jara nɔ lɛ he. Mɛni ji oti titri ni ma shika he gbɛjianɔtoo hiɛ ŋmɛnɛ?
A good friend of your father,tɔ́wo xɔ̃lɔ̃ vevie wonye
I've been reading about the causes of delay and cost overruns in construction of groundwater projects in Ghana. Can you tell me more about this issue?,Mikane nɔ ni kɛ sɛɛkuu kɛ shika ni fa fe nine ni akɛtsuɔ nii yɛ shikpɔŋ shishi nu nitsumɔi amli yɛ Ghana lɛ baa lɛ he nii. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
I'm interested in learning about the effects of poultry manure and NPK fertilizer on tomato plants. Can you tell me about a study that was conducted in Ghana?,Miyɛ bɔ ni kooloi kɛ NPK ni akɛwoɔ amɛmli lɛ tsuɔ nii ehaa yɛ tomato tsei anɔ lɛ he miishɛɛ. Ani obaanyɛ okɛɛ mi nikasemɔ ko ni afee yɛ Ghana lɛ he sane?
What are some key factors that influence customers' bank choice in Ghana?,Mɛni ji nibii titrii komɛi ni náa shikatoohe ni mɛi ni heɔ nii lɛ halaa yɛ Ghana lɛ nɔ hewalɛ?
"What are the potential health risks associated with contaminated drinking water in Ghana, and what methods have been researched for water treatment?",Mɛni ji hewalɛnamɔ he osharai ni baanyɛ aba kɛjɛ nu ni anuɔ ni mli ewo muji mli yɛ Ghana kɛ mɛɛ gbɛi ni atsɔɔ nɔ atsuɔ nu he nii akwɛ mli?
"I've heard that public entities in Ghana often procure items in small quantities, resulting in high transaction costs. Can you tell me more about this issue?","Minu akɛ bei pii lɛ, nɔyeli nitsumɔhei ni yɔɔ Ghana lɛ hɔɔ nibii fioo, ni no haa shika ni akɛheɔ lɛ yaa hiɛ waa. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?"
I didn't realize it before buying it.,Nyemede dzesii alea hafi ƒlee o
The malnourished children have been put on therapeutic foods.,Mmɔfra a wɔanya aduane papa anie kane no wɔde wɔn ato nnsuro nnuane so.
I've heard that there's a food shortage in some Senior High Schools in Ghana. Can you tell me more about it?,Minu akɛ niyenii faaa yɛ skul wuji komɛi amli yɛ Ghana. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
Nice to meet you.,Enyo be míedo go.
What's your best price?,Can you lower the price?
My friend performed poorly because of irregular attendance.,M’adamfo no anyɛ adwuma yiye esiane sɛ na ɔnkɔ hɔ daa nti.
She didn't understand my choice and that was completely normal.,mese nye tsatsia la me o eye mese egɔme nae
My name is Kofi.,They call me Kofi.
I'm interested in learning more about the effects of heat treatment on pineapple fruits. Can you tell me about the research that's been done on this topic in Ghana?,Miyɛ he miishɛɛ akɛ makase bɔ ni hulutsoo ni akɛtsuɔ nii yɛ ŋmei mli lɛ saa ŋmei yibii ahe lɛ he nii babaoo. Ani obaanyɛ okɛɛ mi niiamlitaomɔ ni afee yɛ Ghana yɛ saneyitso nɛɛ he lɛ he sane?
I'm interested in learning more about the methods used in a Ghanaian research article. Can you explain how the food samples were prepared for analysis?,Miyɛ he miishɛɛ akɛ makase gbɛi ni akɛtsu nii yɛ Ghana niiamlitaomɔ wolo lɛ mli lɛ ahe nii babaoo. Ani obaanyɛ otsɔɔ bɔ ni asaa niyenii ni ajieɔ lɛ kpo lɛ mli koni akɛpɛi mli lɛ mli?
"If you have a large family, some scenes will probably be familiar to you,","ne miele ƒome sɔgbɔ mela, miateŋu nya naɖewo"
I can send and receive money through a mobile money agent.,Metumi amena asan agye sika afiri mobaa sika ohwefo nkyen.
"This is why it is expensive throughout the market,",eyatae wò xɔ asi nene ma ɖo
I came across a research article about HFC Bank in Ghana. What was the general finding regarding customer retention?,Mi na niiamlitaomɔ wolo ko ni kɔɔ HFC Bank ni yɔɔ Ghana lɛ he. Mɛni ji nibii fɛɛ ni ana yɛ mɛi ni baahe nii lɛ ahiɛmɔ he?
"What happened at the Adabraka Market in Accra on Saturday, November two?",Mɛni ba yɛ Adabraka jarayelihe ni yɔɔ Accra lɛ yɛ Hɔgbaa November 2?
"Students who understand faster will not be delayed by others,",sukuvi siwo sea nu gɔme kaba la magahe ɖe megbe o
Thank you for coming.,Thanks for stopping by.
What would you like to buy?,Que souhaiteriez-vous acheter ?
"I'm trying to understand time series data, but I keep hearing about different types of variations. Can you explain the differences between seasonal, cyclical, and random variations?","Miibɔ mɔdɛŋ ni manu be mli saji ni ato he gbɛjianɔ lɛ shishi, shi miyaa nɔ minuɔ srɔtofeemɔi srɔtoi ni yɔɔ mli lɛ ahe. Ani obaanyɛ otsɔɔ srɔtofeemɔ ni yɔɔ be mli, be mli nibii kɛ tsakemɔi ni baa trukaa lɛ ateŋ?"
I heard that the Bank of Ghana printed some money without parliamentary approval. Can you tell me more about that?,Minu akɛ Ghana Bank of Ghana lɛ ekala shika komɛi ni Parliament lɛ ekpɛlɛɛɛ nɔ. Ani obaanyɛ okɛɛ mi enɛ he saji babaoo?
"“It is important that our elites understand that the issue is not their power, but the fate of entire generations of young people.”",ele vevie be míaƒe agbalẽnyalawo nanyae be menye woƒe ŋusẽ ye le vevie o ko boŋ dzidzime si gbɔna la ƒe tsɔme
Is this the final price?,Is that the lowest price?
The project generally aims at creating a market for farm products and gives farmers a number of benefits in the Nandom districts,Dwumadie no botaeɛ ne sɛ ɛbɛma wɔanya dwa ama kuayɛ nnoɔma na ɛma akuafoɔ nya mfasoɔ dodoɔ bi wɔ Nandom mansini mu.
"What is the current situation with global funding for family planning, and how is it affecting access to contraceptives?","Te majimaji ateŋ shika ni akɛhaa weku gbɛjianɔtoo lɛ yɔɔ amrɔ nɛɛ, ni te enaa tsofai ni akɛtsiɔ fɔmɔ naa lɛ anɔ hewalɛ ehaa tɛŋŋ?"
Good to see you again.,Ehi akɛ ooona bo ekoŋŋ.
Not too bad.,Ɛnyɛ bɔne dodo.
I'm trying to understand more about malaria in Ghana. Can you tell me what type of parasite is responsible for most of the deaths and morbidity associated with malaria in Ghana?,Miibɔ mɔdɛŋ ni manu atiridii ni yɔɔ Ghana lɛ he saji babaoo shishi. Kɛɛmɔ mi mɛɛ parasite ji nɔ ni kɛ gbelei kɛ helai ni jɛɔ atiridii mli baa lɛ ateŋ babaoo baa yɛ Ghana?
I've heard about a new pay policy in Ghana. Can you tell me more about it and the concerns surrounding its implementation?,Mi nu nyɔmɔwoo he mla hee ko he yɛ Ghana. Ani obaanyɛ okɛɛ mi ehe saji babaoo kɛ haomɔi ni kɔɔ etsumɔ he lɛ?
I know that by God's grace the best is yet to come until Ghana becomes a household name on the earth.,Minim sɛ ɛnam Onyankopɔn adom so na nea eye sen biara no da so ara reba kosi sɛ Ghana bɛyɛ ofie din wɔ asase so.
I heard that a town in Ghana's Eastern Region had a severe water crisis. Can you tell me more about it?,Minu akɛ maŋ ko ni yɔɔ Ghana bokagbɛ kpokpaa lɛ nɔ lɛ kɛ nu he naagbai ni mli wa miikpe. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
Last evening one person was killed as a land wrangle turned violent.,"Anwummerɛ a etwaam no, wokum nnipa baako berɛ a asase so ntawantawadie danee basabasayɛ no."
How much per basket?,What does one basket cost?
Farmer group members were asked to contribute money to receive fertilizers cheaply.,Wɔka kyerɛɛ akuafo kuw mma no sɛ wɔmfa sika bi mmra na ama wɔanya ɔyɛ-asase-yiya ne bo nyɛ den.
Can you explain the process of detecting sulfate presence in water samples using the SulfaVer four reagent?,Ani obaanyɛ otsɔɔ gbɛ ni atsɔɔ nɔ anaa sulfate ni yɔɔ nu mli lɛ mli kɛtsɔ SulfaVer four reagent lɛ nɔ?
I'm interested in learning more about the research on water quality in the Aboabo River basin. Can you tell me about the sample size and selection process used in the study?,Miyɛ he miishɛɛ akɛ makase nu mli nibii ahe niiamlitaomɔ babaoo yɛ Abobo Faa lɛ mli. Ani obaanyɛ okɛɛ mi nɔkwɛmɔnɔ lɛ dalɛ kɛ gbɛ ni atsɔɔ nɔ ahalaa mɛi ni akɛtsu nii yɛ nikasemɔ lɛ mli lɛ?
Hello,Miŋa bo
You're welcome.,Akwaaba.
"The head of the family traditionally sprinkles kpoikpoi (a process called ""Nishwamo"") and pours drinks to the ground to honor ancestors following the preparation of Homowo food on Saturday.","Abusua ti no petepete kpoipkoi (wɔfrɛ saa nneyɛɛ yi ""Nishwamo"") na ɔgu nsa de hyɛ nananom nsamanfoɔ animouyam de yɛ ahoboa ma Homowo aduane no Memeneda."
Some people give names to their children that praise God's goodness to them.,Nnipa binom to wɔn mma din a ɛkamfo Onyankopɔn papayɛ ma wɔn.
"I was so happy when my friends came to visit me at home, cherishing their presence.","M’ani gyei pa ara bere a me nnamfonom baa me nkyɛn bɛsraa me wɔ fie, m'ani sɔ wɔn ba a wɔbae no."
"He knew I was there, but paid me no attention",enya be meva ke hã meke nu de eme nam o
Welcome,Accueillir
I'm trying to understand the relationship between secure property titles and access to credit in Ghana. Can you explain it to me?,Miibɔ mɔdɛŋ ni manu wekukpaa ni yɔɔ nibii ni yɔɔ shweshweeshwe ni mɔ ko yɔɔ kɛ shika ni anáa yɛ Ghana lɛ teŋ lɛ shishi. obaanyɛ otsɔɔ mi mli
The motorized water source has provided enough water for the people.,Nsuo a wɔde afiri ayɛ yɛ beaeɛ pɔtee a nnipa pii no ara nya nsuo firi.
More security guards were deployed at the market.,Wɔde awɛmfo pii kɔɔ gua no mu.
How can I assist you today?,How can I help you today?
I'm interested in learning about heavy metal exposure from foods. Can you tell me more about it?,Miyɛ he miishɛɛ akɛ makase dade ni tsii ni jɛɔ niyenii mli baa lɛ he nii. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
"Maybe one day, during a traffic jam, I will ask him his name and if he comes from Teranga...",ɖewohĩ gbe ɖekaa le mɔdzadza ta la mabiae eŋkɔ kple ne Terãga wotso lae
